TF	Target	confidence	rank	stroke	stroke-width	stroke-dasharray
Csrnp1	Mxd1	0.667	0.62793	rgb(224, 97, 98)	1.8284	2,2
Hey1	Ddx51	0.66676	0.61468	rgb(224,100,101)	1.8283	2,2
E2f1	Ypel5	-0.66595	-0.6473	rgb( 77,132,242)	1.1417	2,2
Creb5	Hist3h2bb-ps	0.66577	0.579	rgb(223,106,108)	1.8278	2,2
Klf12	Espn	0.66572	0.52701	rgb(223,116,117)	1.8278	2,2
Mycn	Max	0.66555	0.65545	rgb(224, 92, 93)	1.8277	2,2
Rela	Decr1	0.66502	0.45566	rgb(222,130,131)	1.8274	2,2
Zfp58	Rps6ka4	-0.66494	-0.70234	rgb( 65,124,244)	1.1422	2,2
Nhlh1	Trib2	0.66438	0.73496	rgb(225, 77, 78)	1.8271	2,2
Batf3	Gtf2i	-0.66313	-0.73496	rgb( 58,120,245)	1.1431	2,2
Ankzf1	Rgs11	0.6624	0.63201	rgb(224, 96, 98)	1.8261	2,2
Zfx	Higd1a	-0.66223	-0.60143	rgb( 86,138,240)	1.1436	2,2
Zbtb7b	Ckmt1	-0.66156	-0.57492	rgb( 92,141,239)	1.1439	2,2
Pou6f1	Gpr15	0.6615	0.65851	rgb(224, 91, 93)	1.8256	2,2
Zfx	Cdk5	-0.66133	-0.4577	rgb(118,157,234)	1.1441	2,2
Snai3	Pmepa1	0.66105	0.74312	rgb(225, 75, 77)	1.8254	2,2
Tal2	Fermt2	0.66092	0.60041	rgb(224,102,104)	1.8253	2,2
Nhlh1	Bcl3	0.6607	0.53823	rgb(223,114,115)	1.8252	2,2
Gabpa	N4bp2l1	-0.66066	-0.56269	rgb( 95,143,238)	1.1444	2,2
Elf1	Lrp8	-0.66041	-0.74924	rgb( 54,118,245)	1.1445	2,2
Irf5	Clec2i	0.66021	0.66972	rgb(224, 89, 90)	1.8249	2,2
Ddit3	Serpinf1	-0.65994	-0.62283	rgb( 82,135,241)	1.1448	2,2
Hmg20b	Abcd3	0.65989	0.63201	rgb(224, 96, 98)	1.8248	2,2
Ascl2	Zfp324	0.65802	0.59939	rgb(224,103,104)	1.8238	None
Hif1a	Bcar1	0.65626	0.59327	rgb(224,104,105)	1.8229	2,2
Tcf3	Lst1	0.65621	0.65443	rgb(224, 92, 93)	1.8229	2,2
